centroid_day,repeat,centroid_day_train,accuracy,precision_micro,precision_macro,precision_weighted,precision_negative,precision_neutral,precision_positive,recall_micro,recall_macro,recall_weighted,recall_negative,recall_neutral,recall_positive,f1_micro,f1_macro,f1_weighted,f1_negative,f1_neutral,f1_positive
2019-11-04,13,2019-08-06,0.46,0.46,0.15333333333333335,0.2116,0.0,0.0,0.46,0.46,0.3333333333333333,0.46,0.0,0.0,1.0,0.46,0.21004566210045664,0.2898630136986302,0.0,0.0,0.6301369863013699
2020-02-02,13,2019-08-06,0.4533333333333333,0.4533333333333333,0.1511111111111111,0.2055111111111111,0.0,0.0,0.4533333333333333,0.4533333333333333,0.3333333333333333,0.4533333333333333,0.0,0.0,1.0,0.4533333333333333,0.2079510703363914,0.28281345565749233,0.0,0.0,0.6238532110091742
2020-05-02,13,2019-08-06,0.4266666666666667,0.4266666666666667,0.14222222222222222,0.18204444444444445,0.0,0.0,0.4266666666666667,0.4266666666666667,0.3333333333333333,0.4266666666666667,0.0,0.0,1.0,0.42666666666666675,0.19937694704049844,0.255202492211838,0.0,0.0,0.5981308411214953
2020-07-31,13,2019-08-06,0.42,0.42,0.13999999999999999,0.17639999999999997,0.0,0.0,0.42,0.42,0.3333333333333333,0.42,0.0,0.0,1.0,0.41999999999999993,0.19718309859154928,0.24845070422535212,0.0,0.0,0.5915492957746479
2020-07-31,13,2020-07-31,0.5,0.5,0.489073289391086,0.4991074231010672,0.4444444444444444,0.4915254237288136,0.53125,0.5,0.48449188104360513,0.5,0.41379310344827586,0.5,0.5396825396825397,0.5,0.4865769983880221,0.49941994430183406,0.4285714285714286,0.49572649572649574,0.5354330708661418
2019-08-06,14,2019-08-06,0.6333333333333333,0.6333333333333333,0.6339055001845699,0.637846068660022,0.6071428571428571,0.6666666666666666,0.627906976744186,0.6333333333333333,0.6122071634166333,0.6333333333333333,0.5862068965517241,0.4444444444444444,0.8059701492537313,0.6333333333333333,0.6119023047815617,0.6226157550739594,0.5964912280701754,0.5333333333333333,0.7058823529411764
2019-11-04,14,2019-08-06,0.5866666666666667,0.5866666666666667,0.5960554049984944,0.590195724179464,0.6296296296296297,0.5853658536585366,0.573170731707317,0.5866666666666667,0.5653044871794872,0.5866666666666667,0.5,0.46153846153846156,0.734375,0.5866666666666667,0.5724472326255828,0.5799667253440351,0.5573770491803278,0.5161290322580645,0.6438356164383561
2020-02-02,14,2019-08-06,0.6266666666666667,0.6266666666666667,0.6419047619047619,0.6356952380952381,0.7,0.64,0.5857142857142857,0.6266666666666667,0.6184482184482185,0.6266666666666667,0.5384615384615384,0.5714285714285714,0.7454545454545455,0.6266666666666667,0.6228230790265245,0.6242030079299973,0.608695652173913,0.6037735849056605,0.656
2020-05-02,14,2019-08-06,0.5133333333333333,0.5133333333333333,0.49746321664129883,0.5128462709284627,0.4444444444444444,0.5,0.547945205479452,0.5133333333333333,0.506423258958756,0.5133333333333333,0.5,0.43103448275862066,0.5882352941176471,0.5133333333333333,0.5003090282606344,0.5115168652173241,0.47058823529411764,0.46296296296296297,0.5673758865248226
2020-07-31,14,2019-08-06,0.5,0.5,0.48985446985446995,0.5011822591822592,0.4230769230769231,0.56,0.4864864864864865,0.5,0.47795193312434686,0.5,0.3793103448275862,0.509090909090909,0.5454545454545454,0.5,0.4825396825396826,0.49917460317460327,0.4,0.5333333333333333,0.5142857142857143
2019-05-08,14,2019-05-08,0.62,0.62,0.6160034790171777,0.6190954555338117,0.6190476190476191,0.5714285714285714,0.6575342465753424,0.62,0.5857621217031065,0.62,0.4482758620689655,0.5925925925925926,0.7164179104477612,0.62,0.5958441558441558,0.6162735930735931,0.52,0.5818181818181818,0.6857142857142857
2019-08-06,14,2019-05-08,0.64,0.64,0.6487286116525882,0.6422296729478015,0.6842105263157895,0.62,0.6419753086419753,0.64,0.5994897797093715,0.64,0.4482758620689655,0.5740740740740741,0.7761194029850746,0.64,0.6135077385077384,0.6332114807114807,0.5416666666666666,0.5961538461538461,0.7027027027027027
2019-11-04,14,2019-05-08,0.6066666666666667,0.6066666666666667,0.6571895424836601,0.6341437908496732,0.8,0.5882352941176471,0.5833333333333334,0.6066666666666667,0.5651630844645551,0.6066666666666667,0.35294117647058826,0.5769230769230769,0.765625,0.6066666666666667,0.578160784124723,0.5954846782586033,0.489795918367347,0.5825242718446602,0.6621621621621622
2020-02-02,14,2019-05-08,0.5733333333333334,0.5733333333333334,0.6049705390100191,0.5929587087603457,0.7142857142857143,0.5522388059701493,0.5483870967741935,0.5733333333333334,0.5545038295038295,0.5733333333333334,0.38461538461538464,0.6607142857142857,0.6181818181818182,0.5733333333333334,0.5609408658189147,0.5677124591758739,0.5,0.6016260162601627,0.5811965811965812
2020-05-02,14,2019-05-08,0.5333333333333333,0.5333333333333333,0.5014547754585705,0.530236559139785,0.4,0.5161290322580645,0.5882352941176471,0.5333333333333333,0.49109758846067164,0.5333333333333333,0.3333333333333333,0.5517241379310345,0.5882352941176471,0.5333333333333333,0.4950683303624481,0.531070707070707,0.3636363636363636,0.5333333333333333,0.5882352941176471
