created_at,2019-08-06,2019-02-07,2018-11-09,2019-05-08,2018-08-11,2019-11-04,2020-05-02,2020-07-31,2020-02-02
2012-05-27 00:00:00+00:00,0.25,0.375,0.75,0.25,0.5,0.25,0.375,0.0,0.0
2012-06-10 00:00:00+00:00,0.0,0.17647058823529413,-0.29411764705882354,-0.23529411764705882,0.11764705882352941,-0.23529411764705882,-0.058823529411764705,-0.17647058823529413,-0.23529411764705882
2012-06-24 00:00:00+00:00,0.15,0.1,0.15,0.1,0.55,0.35,-0.1,0.35,-0.15
2012-07-08 00:00:00+00:00,0.35714285714285715,-0.14285714285714285,0.14285714285714285,-0.14285714285714285,-0.14285714285714285,0.0,-0.42857142857142855,-0.42857142857142855,-0.2857142857142857
2012-07-22 00:00:00+00:00,-0.05,-0.05,0.05,0.05,0.1,-0.05,0.15,0.05,0.2
2012-08-05 00:00:00+00:00,0.391304347826087,0.4782608695652174,0.4782608695652174,0.30434782608695654,0.5652173913043478,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087
2012-08-19 00:00:00+00:00,0.5454545454545454,0.3181818181818182,0.5454545454545454,0.18181818181818182,0.6363636363636364,0.45454545454545453,0.13636363636363635,0.22727272727272727,0.2727272727272727
2012-09-02 00:00:00+00:00,0.75,0.8379629629629629,0.8981481481481481,0.7314814814814815,0.8472222222222222,0.7222222222222222,0.7314814814814815,0.7361111111111112,0.7407407407407407
2012-09-16 00:00:00+00:00,-0.4666666666666667,-0.6,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.06666666666666667,-0.2,-0.26666666666666666,-0.4
2012-09-30 00:00:00+00:00,0.3333333333333333,0.25,0.4583333333333333,0.4166666666666667,0.375,0.0,0.0,0.0,0.16666666666666666
2012-10-14 00:00:00+00:00,-0.07692307692307693,0.15384615384615385,-0.07692307692307693,0.3076923076923077,-0.07692307692307693,-0.07692307692307693,-0.23076923076923078,0.3076923076923077,-0.23076923076923078
2012-10-28 00:00:00+00:00,0.8954703832752613,0.8954703832752613,-0.8815331010452961,0.9024390243902439,0.9094076655052264,-0.8850174216027874,0.8745644599303136,0.8536585365853658,-0.8745644599303136
2012-11-11 00:00:00+00:00,0.1875,0.5,0.8125,0.5625,0.9375,0.5,0.3125,0.25,0.4375
2012-11-25 00:00:00+00:00,-0.3157894736842105,-0.2631578947368421,-0.5789473684210527,0.0,-0.2631578947368421,-0.10526315789473684,-0.47368421052631576,-0.47368421052631576,-0.2631578947368421
2012-12-09 00:00:00+00:00,0.5555555555555556,0.3333333333333333,-0.2222222222222222,-0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.2222222222222222
2012-12-23 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0
2013-01-06 00:00:00+00:00,-1.0,-0.6363636363636364,-0.6363636363636364,-0.6363636363636364,-0.6363636363636364,-0.45454545454545453,-0.45454545454545453,-0.8181818181818182,-0.6363636363636364
2013-01-20 00:00:00+00:00,0.02702702702702703,0.24324324324324326,0.13513513513513514,-0.13513513513513514,0.43243243243243246,0.2702702702702703,-0.21621621621621623,0.24324324324324326,0.08108108108108109
2013-02-03 00:00:00+00:00,0.12903225806451613,0.16129032258064516,0.1935483870967742,0.03225806451612903,0.5806451612903226,-0.16129032258064516,-0.03225806451612903,-0.0967741935483871,0.0
2013-02-17 00:00:00+00:00,0.07692307692307693,-0.23076923076923078,0.07692307692307693,-0.6923076923076923,0.23076923076923078,0.07692307692307693,-0.38461538461538464,0.23076923076923078,0.07692307692307693
2013-03-03 00:00:00+00:00,0.13333333333333333,0.3333333333333333,0.0,0.06666666666666667,0.26666666666666666,0.0,-0.2,-0.06666666666666667,0.0
2013-03-17 00:00:00+00:00,-0.05555555555555555,0.05555555555555555,0.05555555555555555,-0.05555555555555555,0.05555555555555555,-0.05555555555555555,0.3888888888888889,0.05555555555555555,0.05555555555555555
2013-03-31 00:00:00+00:00,-0.6851851851851852,0.8796296296296297,-0.6481481481481481,0.12962962962962962,0.8981481481481481,0.037037037037037035,-0.009259259259259259,0.009259259259259259,-0.7314814814814815
2013-04-14 00:00:00+00:00,-0.795,-0.725,-0.72,-0.74,-0.78,-0.79,-0.01,0.045,-0.765
2013-04-28 00:00:00+00:00,0.6896551724137931,0.41379310344827586,0.7241379310344828,0.5517241379310345,0.7931034482758621,0.5517241379310345,0.4827586206896552,0.3448275862068966,0.4482758620689655
2013-05-12 00:00:00+00:00,-0.05,-0.15,0.3,-0.1,0.3,-0.05,0.05,-0.25,-0.25
2013-05-26 00:00:00+00:00,0.06896551724137931,-0.034482758620689655,-0.06896551724137931,-0.2413793103448276,-0.13793103448275862,-0.3793103448275862,0.2413793103448276,0.0,-0.5172413793103449
2013-06-09 00:00:00+00:00,0.4666666666666667,0.4,0.8666666666666667,0.8,0.7333333333333333,0.5333333333333333,0.8,0.3333333333333333,0.5333333333333333
2013-06-23 00:00:00+00:00,0.42105263157894735,0.42105263157894735,0.47368421052631576,0.2631578947368421,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.3157894736842105,0.3684210526315789
2013-07-07 00:00:00+00:00,0.4117647058823529,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.5882352941176471,0.17647058823529413,0.4117647058823529,0.29411764705882354,0.4117647058823529
2013-07-21 00:00:00+00:00,-0.47058823529411764,-0.029411764705882353,-0.3235294117647059,-0.38235294117647056,0.029411764705882353,-0.7058823529411765,-0.7058823529411765,-0.5294117647058824,-0.7058823529411765
2013-08-04 00:00:00+00:00,-0.125,0.0,-0.375,-0.125,0.25,-0.375,-0.3125,-0.0625,-0.3125
2013-08-18 00:00:00+00:00,-0.2916666666666667,-0.4166666666666667,0.16666666666666666,-0.08333333333333333,0.2916666666666667,-0.125,-0.125,-0.125,0.16666666666666666
2013-09-01 00:00:00+00:00,0.08695652173913043,0.30434782608695654,0.043478260869565216,0.30434782608695654,0.2608695652173913,0.13043478260869565,0.13043478260869565,0.17391304347826086,0.13043478260869565
2013-09-15 00:00:00+00:00,0.4827586206896552,0.6551724137931034,0.5862068965517241,0.5172413793103449,0.3793103448275862,0.27586206896551724,0.6551724137931034,0.41379310344827586,0.3448275862068966
2013-09-29 00:00:00+00:00,0.375,-0.125,0.3333333333333333,0.4583333333333333,0.3333333333333333,0.2916666666666667,0.20833333333333334,0.0,0.125
2013-10-13 00:00:00+00:00,0.6521739130434783,0.5217391304347826,0.4782608695652174,0.5217391304347826,0.43478260869565216,0.34782608695652173,0.391304347826087,0.17391304347826086,0.6086956521739131
2013-10-27 00:00:00+00:00,0.1111111111111111,-0.05555555555555555,0.05555555555555555,0.0,0.3888888888888889,0.4444444444444444,0.1111111111111111,-0.1111111111111111,-0.05555555555555555
2013-11-10 00:00:00+00:00,0.028037383177570093,-0.06542056074766354,0.12149532710280374,0.19626168224299065,0.18691588785046728,0.205607476635514,-0.06542056074766354,-0.06542056074766354,-0.11214953271028037
2013-11-24 00:00:00+00:00,0.023809523809523808,0.5714285714285714,0.5238095238095238,-0.14285714285714285,0.5714285714285714,0.023809523809523808,-0.16666666666666666,0.047619047619047616,-0.11904761904761904
2013-12-08 00:00:00+00:00,0.0625,0.25,0.5625,0.5208333333333334,0.6458333333333334,-0.375,0.0,-0.3541666666666667,-0.4166666666666667
2013-12-22 00:00:00+00:00,-0.2558139534883721,-0.11627906976744186,-0.37209302325581395,-0.11627906976744186,-0.06976744186046512,0.06976744186046512,-0.2558139534883721,-0.046511627906976744,-0.18604651162790697
2014-01-05 00:00:00+00:00,-0.1724137931034483,-0.7241379310344828,-0.7931034482758621,-0.6551724137931034,-0.5172413793103449,-0.06896551724137931,-0.7931034482758621,-0.7931034482758621,-0.5862068965517241
2014-01-19 00:00:00+00:00,0.32432432432432434,0.32432432432432434,0.35135135135135137,0.35135135135135137,0.4864864864864865,0.2972972972972973,-0.02702702702702703,0.0,0.32432432432432434
2014-02-02 00:00:00+00:00,0.17391304347826086,-0.08695652173913043,-0.043478260869565216,-0.21739130434782608,0.3695652173913043,-0.021739130434782608,-0.30434782608695654,-0.06521739130434782,-0.2826086956521739
2014-02-16 00:00:00+00:00,-0.14285714285714285,-0.14285714285714285,-0.42857142857142855,-0.42857142857142855,-0.14285714285714285,-0.42857142857142855,-0.42857142857142855,0.7142857142857143,-0.42857142857142855
2014-03-02 00:00:00+00:00,0.32,0.48,0.36,0.16,0.64,-0.2,-0.12,-0.08,-0.36
2014-03-16 00:00:00+00:00,0.7037037037037037,0.4444444444444444,0.5555555555555556,0.7037037037037037,0.6666666666666666,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5925925925925926
2014-03-30 00:00:00+00:00,0.8044444444444444,0.8162962962962963,0.9466666666666667,0.9481481481481482,0.9585185185185185,0.9540740740740741,0.8711111111111111,-0.8548148148148148,0.7437037037037038
2014-04-13 00:00:00+00:00,0.5,0.6666666666666666,0.5416666666666666,0.6041666666666666,0.6041666666666666,0.5,0.5416666666666666,0.4375,0.4583333333333333
2014-04-27 00:00:00+00:00,0.375,0.5,0.325,0.0,0.5,0.275,-0.15,0.125,-0.1
2014-05-11 00:00:00+00:00,0.391304347826087,0.4927536231884058,0.5072463768115942,0.42028985507246375,0.7681159420289855,0.4927536231884058,0.4492753623188406,0.36231884057971014,0.463768115942029
2014-05-25 00:00:00+00:00,0.625,0.6458333333333334,0.125,0.14583333333333334,0.22916666666666666,0.10416666666666667,0.20833333333333334,0.1875,0.22916666666666666
2014-06-08 00:00:00+00:00,0.5,-0.05,0.25,0.05,0.4,0.1,0.2,0.05,0.2
2014-06-22 00:00:00+00:00,0.23809523809523808,0.14285714285714285,0.0,0.2857142857142857,0.38095238095238093,0.09523809523809523,0.23809523809523808,0.14285714285714285,0.19047619047619047
2014-07-06 00:00:00+00:00,0.25,0.25,0.5,0.4375,0.4375,0.1875,0.375,0.125,-0.0625
